birthCity,birthCountry,birthDate,firstName,image,lastName,nationality,nickname
Praia,Cape Verde Islands,1986-11-17T00:00:00.000Z,Luís Carlos,http://cache.images.globalsportsmedia.com/soccer/players/150x150/4647.png,Almeida da Cunha,Portugal,Nani
Paris,France,1986-04-25T00:00:00.000Z,Raïs,http://cache.images.globalsportsmedia.com/soccer/players/150x150/840.png,M'Bolhi Ouhab,Algeria,R. M'Bolhi
Toulouse,France,1988-03-05T00:00:00.000Z,Liassine,http://cache.images.globalsportsmedia.com/soccer/players/150x150/153680.png,Cadamuro Bentaïba,Algeria,L. Cadamuro
Châlons-en-Champagne,France,1991-10-22T00:00:00.000Z,Aïssa,http://cache.images.globalsportsmedia.com/soccer/players/150x150/100878.png,Mandi,Algeria,A. Mandi
Castres,France,1992-02-29T00:00:00.000Z,Saphir Sliti,http://cache.images.globalsportsmedia.com/soccer/players/150x150/131271.png,Taïder,Algeria,S. Taïder
Lille,France,1994-11-24T00:00:00.000Z,Nabil,http://cache.images.globalsportsmedia.com/soccer/players/150x150/232390.png,Bentaleb,Algeria,N. Bentaleb
Saint-Maurice,France,1984-05-14T00:00:00.000Z,Hassan,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1412.png,Yebda,Algeria,H. Yebda
Versailles,France,1984-03-15T00:00:00.000Z,Mehdi,http://cache.images.globalsportsmedia.com/soccer/players/150x150/59285.png,Lacen,Algeria,M. Lacen
Marseille,France,1990-04-20T00:00:00.000Z,Nabil,http://cache.images.globalsportsmedia.com/soccer/players/150x150/87593.png,Ghilas,Algeria,N. Ghilas
Město Albrechtice,Czech Republic,1981-02-05T00:00:00.000Z,Loukas,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19131.png,Vyntra,Greece,L. Vyntra
Kingston,Jamaica,1994-12-08T00:00:00.000Z,Raheem Shaquille,http://cache.images.globalsportsmedia.com/soccer/players/150x150/160414.png,Sterling,England,R. Sterling
Berlin,Germany,1987-03-06T00:00:00.000Z,Kevin-Prince,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1870.png,Boateng,Ghana,K. Boateng
Levallois-Perret,France,1989-12-26T00:00:00.000Z,Sofiane,http://cache.images.globalsportsmedia.com/soccer/players/150x150/39454.png,Feghouli,Algeria,S. Feghouli
Marseille,France,1991-09-11T00:00:00.000Z,Jordan,http://cache.images.globalsportsmedia.com/soccer/players/150x150/95810.png,Ayew,Ghana,J. Ayew
Gießen,Germany,1988-01-06T00:00:00.000Z,Daniel,http://cache.images.globalsportsmedia.com/soccer/players/150x150/54773.png,Davari,Iran,D. Davari
San Jose,United States,1987-02-01T00:00:00.000Z,Steven Mehrdad,http://cache.images.globalsportsmedia.com/soccer/players/150x150/124048.png,Beitashour,Iran,S. Beitashour
Brugg,Switzerland,1991-08-04T00:00:00.000Z,Izet,http://cache.images.globalsportsmedia.com/soccer/players/150x150/99452.png,Hajrović,Bosnia-Herzegovina,I. Hajrović
München,Germany,1987-12-11T00:00:00.000Z,Fabian,http://cache.images.globalsportsmedia.com/soccer/players/150x150/16894.png,Johnson,United States,F. Johnson
Berlin,Germany,1993-01-28T00:00:00.000Z,John Anthony,http://cache.images.globalsportsmedia.com/soccer/players/150x150/176540.png,Brooks,United States,J. Brooks
Dubrovnik,Croatia,1980-08-18T00:00:00.000Z,Emir,http://cache.images.globalsportsmedia.com/soccer/players/150x150/5949.png,Spahić,Bosnia-Herzegovina,E. Spahić
Berlin,Germany,1992-09-10T00:00:00.000Z,Muhamed,http://cache.images.globalsportsmedia.com/soccer/players/150x150/144829.png,Bešić,Bosnia-Herzegovina,M. Bešić
,Belgium,1992-02-13T00:00:00.000Z,Tino,http://cache.images.globalsportsmedia.com/soccer/players/150x150/137283.png,Sušić,Bosnia-Herzegovina,T. Sušić
München,Germany,1982-06-05T00:00:00.000Z,Zvjezdan,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1666.png,Misimović,Bosnia-Herzegovina,Z. Misimović
,Born at sea,1984-03-08T00:00:00.000Z,Rio Antonio,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1491.png,Zoba Mavuba,France,R. Mavuba
Lagarto,Brazil,1988-10-07T00:00:00.000Z,Diego,http://cache.images.globalsportsmedia.com/soccer/players/150x150/60977.png,Da Silva Costa,Spain,Diego Costa
Lille,France,1989-12-17T00:00:00.000Z,André,http://cache.images.globalsportsmedia.com/soccer/players/150x150/20572.png,Ayew Pelé,Ghana,A. Ayew
Abidjan,Côte d'Ivoire,1987-01-18T00:00:00.000Z,Johan Danon,http://cache.images.globalsportsmedia.com/soccer/players/150x150/200.png,Djourou-Gbadjere,Switzerland,J. Djourou
Gjilan,Kosovo,1991-10-10T00:00:00.000Z,Xherdan,http://cache.images.globalsportsmedia.com/soccer/players/150x150/83268.png,Shaqiri,Switzerland,X. Shaqiri
Praia,Cape Verde Islands,1986-09-02T00:00:00.000Z,Gelson,http://cache.images.globalsportsmedia.com/soccer/players/150x150/11446.png,Fernandes,Switzerland,G. Fernandes
Frankfurt am Main,Germany,1981-11-03T00:00:00.000Z,Jermaine,http://cache.images.globalsportsmedia.com/soccer/players/150x150/1801.png,Jones,United States,J. Jones
Dakar,Senegal,1981-05-15T00:00:00.000Z,Patrice,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2909.png,Evra,France,P. Evra
Paris,France,1990-02-08T00:00:00.000Z,Yacine,http://cache.images.globalsportsmedia.com/soccer/players/150x150/39221.png,Brahimi,Algeria,Y. Brahimi
Karlsruhe,Germany,1993-06-20T00:00:00.000Z,Sead,http://cache.images.globalsportsmedia.com/soccer/players/150x150/212062.png,Kolašinac,Bosnia-Herzegovina,S. Kolašinac
Gostivar,FYR Macedonia,1991-03-16T00:00:00.000Z,Admir,http://cache.images.globalsportsmedia.com/soccer/players/150x150/44428.png,Mehmedi,Switzerland,A. Mehmedi
Scarborough,Canada,1987-09-13T00:00:00.000Z,Jonathan,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2259.png,de Guzmán,Netherlands,J. de Guzmán
Maracaibo,Venezuela,1983-10-19T00:00:00.000Z,Jorge Luís,http://cache.images.globalsportsmedia.com/soccer/players/150x150/9295.png,Valdivia Toro,Chile,J. Valdivia
Saint-Priest-en-Jarez,France,1991-02-01T00:00:00.000Z,Faouzi,http://cache.images.globalsportsmedia.com/soccer/players/150x150/158334.png,Ghoulam,Algeria,F. Ghoulam
Luanda,Angola,1992-04-07T00:00:00.000Z,William,http://cache.images.globalsportsmedia.com/soccer/players/150x150/159057.png,Silva Carvalho,Portugal,William
Dijon,France,1983-08-30T00:00:00.000Z,Mehdi,http://cache.images.globalsportsmedia.com/soccer/players/150x150/37838.png,Mostefa Sbaa,Algeria,M. Mostefa
Roanne,France,1985-01-09T00:00:00.000Z,Cédric,http://cache.images.globalsportsmedia.com/soccer/players/150x150/89427.png,Si Mohamed,Algeria,C. Si Mohamed
Oslo,Norway,1987-12-12T00:00:00.000Z,Adam,http://cache.images.globalsportsmedia.com/soccer/players/150x150/7945.png,Larsen Kwarasey,Ghana,A. Kwarasey
Tetovo,FYR Macedonia,1986-04-12T00:00:00.000Z,Blerim,http://cache.images.globalsportsmedia.com/soccer/players/150x150/209.png,Džemaili,Switzerland,B. Džemaili
Oslo,Norway,1990-10-02T00:00:00.000Z,Mikkel,http://cache.images.globalsportsmedia.com/soccer/players/150x150/75700.png,Morgenstar Pålssønn Diskerud,United States,M. Diskerud
Frankfurt am Main,Germany,1990-03-29T00:00:00.000Z,Timothy,http://cache.images.globalsportsmedia.com/soccer/players/150x150/57720.png,Chandler,United States,T. Chandler
Mitrovica,Kosovo,1985-04-19T00:00:00.000Z,Valon,http://cache.images.globalsportsmedia.com/soccer/players/150x150/206.png,Behrami,Switzerland,V. Behrami
London,England,1987-12-13T00:00:00.000Z,Albert Danquah,http://cache.images.globalsportsmedia.com/soccer/players/150x150/50377.png,Adomah,Ghana,A. Adomah
Likasi,Congo DR,1987-10-24T00:00:00.000Z,Anthony,http://cache.images.globalsportsmedia.com/soccer/players/150x150/4585.png,Vanden Borre,Belgium,A. Vanden Borre
Gliwice,Poland,1985-06-04T00:00:00.000Z,Lukas,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2053.png,Podolski,Germany,L. Podolski
Opole,Poland,1978-06-09T00:00:00.000Z,Miroslav,http://cache.images.globalsportsmedia.com/soccer/players/150x150/40.png,Klose,Germany,M. Klose
Aschaffenburg,Germany,1984-06-27T00:00:00.000Z,José,http://cache.images.globalsportsmedia.com/soccer/players/150x150/16897.png,Holebas,Greece,J. Holebas
,France,1991-02-21T00:00:00.000Z,Riyad,http://cache.images.globalsportsmedia.com/soccer/players/150x150/156662.png,Mahrez,Algeria,R. Mahrez
Hamburg,Germany,1989-03-23T00:00:00.000Z,Jean-Eric Maxim,http://cache.images.globalsportsmedia.com/soccer/players/150x150/16501.png,Choupo-Moting,Cameroon,E. Choupo-Moting
Ivry-sur-Seine,France,1985-01-13T00:00:00.000Z,Souleymane,http://cache.images.globalsportsmedia.com/soccer/players/150x150/38532.png,Bamba,Côte d'Ivoire,S. Bamba
Barreiro,Portugal,1992-02-08T00:00:00.000Z,Bruno,http://cache.images.globalsportsmedia.com/soccer/players/150x150/102888.png,Martins Indi,Netherlands,B. Martins Indi
Rheinfelden,Switzerland,1988-03-10T00:00:00.000Z,Ivan,http://cache.images.globalsportsmedia.com/soccer/players/150x150/11354.png,Rakitić,Croatia,I. Rakitić
Zagreb,Croatia,1984-03-28T00:00:00.000Z,Mensur,http://cache.images.globalsportsmedia.com/soccer/players/150x150/37502.png,Mujdža,Bosnia-Herzegovina,M. Mujdža
Brest,France,1987-12-10T00:00:00.000Z,Gonzalo Gerardo,http://cache.images.globalsportsmedia.com/soccer/players/150x150/5274.png,Higuaín,Argentina,G. Higuaín
New York,United States,1991-03-14T00:00:00.000Z,Gotoku,http://cache.images.globalsportsmedia.com/soccer/players/150x150/74560.png,Sakai,Japan,G. Sakai
Capljina,Bosnia-Herzegovina,1985-08-27T00:00:00.000Z,Nikica,http://cache.images.globalsportsmedia.com/soccer/players/150x150/13612.png,Jelavić,Croatia,N. Jelavić
San Jose,United States,1990-08-28T00:00:00.000Z,Isaác,http://cache.images.globalsportsmedia.com/soccer/players/150x150/44245.png,Brizuela Muñóz,Mexico,I. Brizuela
Zenica,Bosnia-Herzegovina,1989-07-05T00:00:00.000Z,Dejan,http://cache.images.globalsportsmedia.com/soccer/players/150x150/55819.png,Lovren,Croatia,D. Lovren
Sacramento,United States,1989-04-12T00:00:00.000Z,Miguel Ángel,http://cache.images.globalsportsmedia.com/soccer/players/150x150/68163.png,Ponce Briseño,Mexico,M. Ponce
Linz,Austria,1994-05-06T00:00:00.000Z,Mateo,http://cache.images.globalsportsmedia.com/soccer/players/150x150/156567.png,Kovačić,Croatia,M. Kovačić
Rio de Janeiro,Brazil,1983-02-25T00:00:00.000Z,Eduardo,http://cache.images.globalsportsmedia.com/soccer/players/150x150/10604.png,Alves da Silva,Croatia,Eduardo Da Silva
Bissau,Guinea-Bissau,1987-12-22T00:00:00.000Z,Éderzito António,http://cache.images.globalsportsmedia.com/soccer/players/150x150/42988.png,Macedo Lopes,Portugal,Éder
Masaya,Nicaragua,1989-06-03T00:00:00.000Z,Óscar Esau,http://cache.images.globalsportsmedia.com/soccer/players/150x150/42671.png,Duarte Gaitán,Costa Rica,Ó. Duarte
