,age,assists,birthCity,birthCountry,birthDate,clubId,firstName,foot,goals,heightCm,id,image,lastName,nationality,nickname,ownGoals,penaltyGoals,position,teamId,type,weightKg,iso3
10,28,0,Yaoundé,Cameroon,1986-04-11T00:00:00.000Z,24320D79-EF7A-4BFC-BEAC-D9A23A97A6DD,Dany Achille,Right,0,184.0,28557DF1-666F-4AF2-82A5-7C7B354A1473,http://cache.images.globalsportsmedia.com/soccer/players/150x150/87782.png,Nounkeu Tchounkeu,Cameroon,D. Nounkeu,0,0,Defender,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,85.0,CMR
11,33,0,N'kon,Cameroon,1981-03-10T00:00:00.000Z,89D41A76-F98F-46E2-8EC7-4223F8C02E91,Samuel,Right,0,180.0,B8C37813-5BAF-4D8D-A255-6C6232699DF3,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2994.png,Eto'o Fils,Cameroon,S. Eto'o,0,0,Attacker,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,75.0,CMR
12,37,0,Pyrgos,Greece,1977-03-06T00:00:00.000Z,E91D09DA-0BCD-4766-9FFC-547DCAD39788,Giorgios,Right,0,176.0,388F1583-22DA-4BF1-8312-3B2423D41DE4,http://cache.images.globalsportsmedia.com/soccer/players/150x150/5909.png,Karagounis,Greece,G. Karagounis,0,0,Midfielder,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,74.0,GRC
13,27,0,Thessaloniki,Greece,1986-12-19T00:00:00.000Z,A275AF8D-5248-4BAC-9BB7-DA666A0F1AF2,Lazaros,Both,0,183.0,F0CDDEE8-AFD8-4CAB-B3A7-14A366F58261,http://cache.images.globalsportsmedia.com/soccer/players/150x150/18891.png,Christodoulopoulos,Greece,L. Christodoulopoulos,0,0,Midfielder,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,77.0,GRC
14,30,0,Arras,France,1984-03-24T00:00:00.000Z,ED50B1E3-841B-4889-BCD3-40067FCBE3A9,Benoît,Left,0,178.0,C759CF7D-B628-45C1-B938-1BF26AB8256D,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2938.png,Assou-Ekotto,Cameroon,B. Assou-Ekotto,0,0,Defender,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,70.0,FRA
15,23,0,Athens,Greece,1990-12-21T00:00:00.000Z,0B956C2B-ECE4-48DA-AD67-FE50DB6EB2DF,Ioannis,Left,0,168.0,DF9B5CEF-AB0E-499E-80F2-ACA7F63ED915,http://cache.images.globalsportsmedia.com/soccer/players/150x150/103765.png,Fetfatzidis,Greece,I. Fetfatzidis,0,0,Midfielder,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,64.0,GRC
16,26,0,Kavala,Greece,1988-03-12T00:00:00.000Z,E91D09DA-0BCD-4766-9FFC-547DCAD39788,Konstantinos,Left,0,188.0,9141EC7A-6D9B-4DD4-89F9-4D667F9746FE,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19125.png,Mitroglou,Greece,K. Mitroglou,0,0,Attacker,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,86.0,GRC
17,26,0,Kalamata,Greece,1988-06-09T00:00:00.000Z,D2B1EC98-32D1-44C1-8572-EB278A55E461,Sokratis,Right,0,185.0,7BCD6C89-11D3-47FC-AFDE-779FB0647221,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19278.png,Papastathopoulos,Greece,S. Papastathopoulos,0,0,Defender,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,85.0,GRC
18,29,0,Katerini,Greece,1985-02-13T00:00:00.000Z,90450527-9D42-4A5E-A284-BD8F5D56FEE5,Alexandros,Right,0,189.0,5B75A6AA-BE81-4799-B06C-40A452872828,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19140.png,Tziolis,Greece,A. Tziolis,0,0,Midfielder,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,84.0,GRC
19,26,0,Vyronas,Greece,1987-11-26T00:00:00.000Z,9A9765EA-9D3B-44F6-BB4C-9315FBD08BFB,Georgios,Left,0,183.0,43EBA04D-D47F-4F81-A4FB-FFEF51A17A40,http://cache.images.globalsportsmedia.com/soccer/players/150x150/45734.png,Tzavellas,Greece,G. Tzavellas,0,0,Defender,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,80.0,GRC
20,21,0,Garoua,Cameroon,1992-08-17T00:00:00.000Z,44448998-7F81-4C2F-B2B6-7B299124F2CC,Edgard Nicaise Constant,,0,163.0,CE0EB57C-B511-4B2E-95FB-2DDF76A427A3,http://cache.images.globalsportsmedia.com/soccer/players/150x150/172906.png,Salli,Cameroon,E. Salli,0,0,Attacker,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,64.0,CMR
21,29,0,Facobly,Côte d'Ivoire,1984-11-07T00:00:00.000Z,EA1CAAB3-1BBB-4C16-AF44-9C3A3DDBC447,Sereso Geoffroy,Right,0,179.0,DC07A1BA-8487-4A5B-AB5F-D502C9E143E6,http://cache.images.globalsportsmedia.com/soccer/players/150x150/33894.png,Gonzaroua Die,Côte d'Ivoire,G. Serey Die,0,0,Midfielder,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,77.0,CIV
22,28,0,Athina,Greece,1985-07-11T00:00:00.000Z,EAA1B391-B43A-425F-A480-C1FD07624C67,Orestis,,0,189.0,5E38E41F-AD6D-4A2D-8CA1-23E3D2DD583E,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19129.png,Karnezis,Greece,O. Karnezis,0,0,Goalkeeper,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,79.0,GRC
23,29,0,Heraklion,Greece,1985-02-21T00:00:00.000Z,024C5AEE-5494-4CF9-937D-6905AA194028,Georgios,Both,0,193.0,9995CA60-7C99-4519-BE6F-20D938BFD8C9,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2862.png,Samaras,Greece,G. Samaras,0,0,Attacker,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,82.0,GRC
24,34,0,Larissa,Greece,1980-05-23T00:00:00.000Z,D8715A78-C213-483F-AF47-369334D05C11,Theofanis,Right,0,180.0,DA06D42D-1E92-45B1-A2C6-3C86F29D22F1,http://cache.images.globalsportsmedia.com/soccer/players/150x150/4478.png,Gekas,Greece,T. Gekas,0,0,Attacker,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,71.0,GRC
25,32,0,Thessaloniki,Greece,1981-08-18T00:00:00.000Z,9A9765EA-9D3B-44F6-BB4C-9315FBD08BFB,Dimitris,Right,0,177.0,35E25D75-A7D6-4387-B1D9-1BD32F80B0E0,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19150.png,Salpingidis,Greece,D. Salpingidis,0,0,Attacker,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,72.0,GRC
26,33,0,Abidjan,Côte d'Ivoire,1980-12-14T00:00:00.000Z,A8765EE7-113E-4395-87CD-603FFEAFB03E,Alain Didier,Right,0,179.0,F15046C2-16CC-4F63-86AA-E7D65B0578D3,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2940.png,Zokora-Déguy,Côte d'Ivoire,D. Zokora,0,0,Midfielder,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,72.0,CIV
27,27,0,Abidjan,Côte d'Ivoire,1986-10-17T00:00:00.000Z,2068F11B-2CFD-4AA0-A674-B7E08230EFF4,Tohouri Zahoui Constant,Left,0,177.0,D5FFC419-5EEB-4E03-887F-BAFFF1AD854A,http://cache.images.globalsportsmedia.com/soccer/players/150x150/12956.png,Djakpa,Côte d'Ivoire,C. Djakpa,0,0,Defender,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,74.0,CIV
28,31,0,Bouaké,Côte d'Ivoire,1983-05-13T00:00:00.000Z,E2951B6F-60EA-4ACE-BC4F-1967FEFB82EE,Gnégnéri Yaya,Right,0,191.0,77E905B1-5181-4286-9B32-6AB99B90A666,http://cache.images.globalsportsmedia.com/soccer/players/150x150/4496.png,Touré,Côte d'Ivoire,Y. Touré,0,0,Midfielder,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,90.0,CIV
29,26,0,Tirana,Albania,1987-07-26T00:00:00.000Z,A275AF8D-5248-4BAC-9BB7-DA666A0F1AF2,Panagiotis Giorgios,Left,0,182.0,2AF70DAD-B43D-4B46-B3CC-A99DA526F172,http://cache.images.globalsportsmedia.com/soccer/players/150x150/19283.png,Kone,Greece,P. Kone,0,0,Midfielder,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,74.0,ALB
30,26,0,Neulli-sur-Seine,France,1988-05-10T00:00:00.000Z,EAA1B391-B43A-425F-A480-C1FD07624C67,Allan Romeo,,0,186.0,5D11994B-C451-461D-8310-451B3E4A2B55,http://cache.images.globalsportsmedia.com/soccer/players/150x150/44285.png,Nyom,Cameroon,A. Nyom,0,0,Defender,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,81.0,FRA
31,25,0,Groesbeek,Netherlands,1989-04-22T00:00:00.000Z,3F577501-4006-416E-8095-EEA5A6734EBD,Jasper,Right,0,187.0,F3D39580-C213-4C78-89ED-BC220A2544B0,http://cache.images.globalsportsmedia.com/soccer/players/150x150/137206.png,Cillessen,Netherlands,J. Cillessen,0,0,Goalkeeper,FB6842E6-BB62-450D-98C0-A062610E6518,Player,82.0,NLD
32,31,0,Abidjan,Côte d'Ivoire,1983-04-02T00:00:00.000Z,08338D4A-A96A-4F6B-A888-6F11469F3DCE,Arthur Etienne,Left,0,166.0,EE465E44-9C2C-4644-BAC5-218A5A2D88D2,http://cache.images.globalsportsmedia.com/soccer/players/150x150/5134.png,Boka,Côte d'Ivoire,A. Boka,0,0,Defender,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,67.0,CIV
33,36,0,Abidjan,Côte d'Ivoire,1978-03-11T00:00:00.000Z,1C3D78B8-67B7-4B2B-A474-94A221B82394,Didier Yves,Right,0,189.0,E81168E1-EE95-455E-A8F5-A53CD63DE6D4,http://cache.images.globalsportsmedia.com/soccer/players/150x150/310.png,Drogba Tébily,Côte d'Ivoire,D. Drogba,0,0,Attacker,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,91.0,CIV
34,23,0,Nafplio,Greece,1991-02-15T00:00:00.000Z,C130E460-7B71-448D-8B97-E172A719C40B,Panagiotis,Left,0,190.0,F5414941-A663-4AAB-8058-45A8B2A6F0CE,http://cache.images.globalsportsmedia.com/soccer/players/150x150/66306.png,Tachtsidis,Greece,P. Tachtsidis,0,0,Midfielder,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,86.0,GRC
35,25,0,Midfielder,Greece,1989-06-13T00:00:00.000Z,2CEE6638-B9D2-45FA-9209-193AF210BDBE,Andreas,,0,,CED23920-FD8D-4226-A880-09F85024A4BB,http://cache.images.globalsportsmedia.com/soccer/players/150x150/121264.png,Samaris,Greece,A. Samaris,0,0,,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,,GRC
36,27,0,Livadeia,Greece,1986-10-12T00:00:00.000Z,2CEE6638-B9D2-45FA-9209-193AF210BDBE,Giannis,,0,177.0,ACF9E29A-6585-4908-A363-B92637068BD4,http://cache.images.globalsportsmedia.com/soccer/players/150x150/39123.png,Maniatis,Greece,G. Maniatis,0,0,Midfielder,38C4D44E-CDA3-40E2-8364-DA27CC190C52,Player,71.0,GRC
37,21,0,Toulouse,France,1992-10-11T00:00:00.000Z,BACDD01C-D85D-4DA0-BAC5-C13F321CBA63,Jean-Daniel,Right,0,180.0,88754721-9DFF-4A63-AA67-1B51220C36F6,http://cache.images.globalsportsmedia.com/soccer/players/150x150/199419.png,Akpa Akpro,Côte d'Ivoire,J. Akpa Akpro,0,0,Defender,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,68.0,FRA
38,26,0,Den Haag,Netherlands,1988-04-03T00:00:00.000Z,60F8CE90-9649-46E8-8EB1-67FCB8EF5B89,Tim,Left,0,188.0,4C9F5776-A951-41D0-BD80-5A38774B7462,http://cache.images.globalsportsmedia.com/soccer/players/150x150/5256.png,Krul,Netherlands,T. Krul,0,0,Goalkeeper,FB6842E6-BB62-450D-98C0-A062610E6518,Player,75.0,NLD
39,25,0,Saint-Sébastien-sur-Loire,France,1989-03-31T00:00:00.000Z,EA1CAAB3-1BBB-4C16-AF44-9C3A3DDBC447,Giovanni-Guy Yann,Left,0,181.0,E8CF8A27-ABEF-490E-BE1D-5FE56754A63E,http://cache.images.globalsportsmedia.com/soccer/players/150x150/61062.png,Sio,Côte d'Ivoire,G. Sio,0,0,Attacker,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,77.0,FRA
40,25,0,Goalkeeper,Côte d'Ivoire,1988-10-29T00:00:00.000Z,5029A7F6-0358-4C24-8410-797E23E2F735,Guelassiognon Sylvain,,0,,4C1CA270-88C7-4139-87B1-864BB5C1CBE5,http://cache.images.globalsportsmedia.com/soccer/players/150x150/289326.png,Gbohouo,Côte d'Ivoire,S. Gbohouo,0,0,,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,,CIV
41,30,0,Nieuwegein,Netherlands,1983-10-20T00:00:00.000Z,0BB5DF66-A25B-42FE-9F58-C120F9B8328F,Michel,Right,0,183.0,8FB618B8-D3EA-4158-8D48-2C84C6CA5439,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2476.png,Vorm,Netherlands,M. Vorm,0,0,Goalkeeper,FB6842E6-BB62-450D-98C0-A062610E6518,Player,84.0,NLD
42,20,0,Abidjan,Côte d'Ivoire,1993-06-15T00:00:00.000Z,570126BD-3A4C-4342-98B4-75CEF6D0913B,Mandé,Right,0,193.0,B536CD0D-C0B5-4454-9A75-BC3439025960,http://cache.images.globalsportsmedia.com/soccer/players/150x150/236511.png,Sayouba,Côte d'Ivoire,M. Sayouba,0,0,Goalkeeper,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,82.0,CIV
43,23,0,Oslo,Norway,1990-11-14T00:00:00.000Z,6C8D842A-302D-4C7A-BFEC-D8668B7F9658,Mathis Gazoa,Both,0,185.0,34574CD3-762F-4633-BED9-6DE541B59BE3,http://cache.images.globalsportsmedia.com/soccer/players/150x150/75751.png,Kippersund Bolly,Côte d'Ivoire,M. Bolly,0,0,Attacker,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,77.0,NOR
44,30,0,Santiago de Chile,Chile,1984-06-01T00:00:00.000Z,B0C2674A-3E3C-4712-BC20-1BB2F759CEA4,Jean André Emanuel,Left,2,178.0,739D782A-F30A-4416-AB97-1F510F9D2F18,http://cache.images.globalsportsmedia.com/soccer/players/150x150/22036.png,Beausejour Coliqueo,Chile,J. Beausejour,0,0,Midfielder,9A319800-C80A-4FD9-9679-125D27246FB0,Player,81.0,CHL
45,27,0,Defender,Côte d'Ivoire,1986-12-21T00:00:00.000Z,9423983A-FCD0-4534-AF01-B59ADD8FFDF8,Ousmane,,0,,40008F8F-2D47-4F33-8983-02D7D101D13D,http://cache.images.globalsportsmedia.com/soccer/players/150x150/65929.png,Viera Diarrassouba,Côte d'Ivoire,O. Viera,0,0,,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,,CIV
46,21,0,Abidjan,Côte d'Ivoire,1992-08-28T00:00:00.000Z,A80A2CBF-792E-444F-A348-8905906AC8F2,Ismaël Tiémoko,,0,180.0,1DC8CBAA-D58A-487E-8A41-3E6141AA6DCC,http://cache.images.globalsportsmedia.com/soccer/players/150x150/158341.png,Diomandé,Côte d'Ivoire,I. Diomandé,0,0,Midfielder,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,,CIV
47,28,0,Oumé,Côte d'Ivoire,1985-08-05T00:00:00.000Z,FE26EFE8-2B31-4575-B665-3F7ABD0A6A2F,Salomon Armand Magloire,Both,0,184.0,6B215F8E-4C98-4DEC-B892-C2E16EA81DE5,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2540.png,Kalou,Côte d'Ivoire,S. Kalou,0,0,Attacker,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,77.0,CIV
48,21,2,Ouragahio,Côte d'Ivoire,1992-12-24T00:00:00.000Z,BACDD01C-D85D-4DA0-BAC5-C13F321CBA63,Serge,Right,0,176.0,E7F922BB-4EE6-4C95-B1AE-EAD45CED70C3,http://cache.images.globalsportsmedia.com/soccer/players/150x150/155098.png,Aurier,Côte d'Ivoire,S. Aurier,0,0,Defender,6B2A7C79-3758-421C-8967-7ABFE1FDC982,Player,76.0,CIV
49,24,0,Zoetermeer,Netherlands,1990-01-05T00:00:00.000Z,FCD26658-B577-4172-8AD8-C38E2882916D,Leroy,Both,0,188.0,C38C262D-48C8-4787-B0DB-17457A84F1D7,http://cache.images.globalsportsmedia.com/soccer/players/150x150/24308.png,Fer,Netherlands,L. Fer,0,0,Midfielder,FB6842E6-BB62-450D-98C0-A062610E6518,Player,79.0,NLD
50,30,0,Kronenberg,Netherlands,1983-09-01T00:00:00.000Z,045CB9DD-6491-49FF-9791-F5FF7C380584,Paul,Right,0,178.0,44099678-F314-48FA-950E-D02276225D20,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2122.png,Verhaegh,Netherlands,P. Verhaegh,0,0,Defender,FB6842E6-BB62-450D-98C0-A062610E6518,Player,72.0,NLD
51,20,0,Fribourg,Switzerland,1994-02-14T00:00:00.000Z,717B6300-CFC2-4B64-8FF5-86DB61B5C310,Terence,Left,0,183.0,C2452EF0-A566-4302-A4B9-FD138422E8F8,http://cache.images.globalsportsmedia.com/soccer/players/150x150/161296.png,Kongolo,Netherlands,T. Kongolo,0,0,Defender,FB6842E6-BB62-450D-98C0-A062610E6518,Player,70.0,CHE
52,24,0,Leidschendam,Netherlands,1989-07-22T00:00:00.000Z,717B6300-CFC2-4B64-8FF5-86DB61B5C310,Daryl,Right,0,185.0,ADAAAE09-D7D3-496C-AB6A-522E846162A3,http://cache.images.globalsportsmedia.com/soccer/players/150x150/59416.png,Janmaat,Netherlands,D. Janmaat,0,0,Defender,FB6842E6-BB62-450D-98C0-A062610E6518,Player,80.0,NLD
53,29,0,Amsterdam,Netherlands,1984-11-30T00:00:00.000Z,CFA70ED6-BBF5-450B-B13A-8D6B176B6E25,Nigel,Right,0,174.0,C8BC15E6-6890-4A04-A647-2823AC568A7B,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2006.png,de Jong,Netherlands,N. de Jong,0,0,Midfielder,FB6842E6-BB62-450D-98C0-A062610E6518,Player,72.0,NLD
54,18,0,Douala,Cameroon,1996-05-12T00:00:00.000Z,E9E8DE8E-443D-4474-B202-6E0790AAB15C,Fabrice,,0,172.0,EB27519C-AE21-4019-BF4B-2EEC3BEFB95A,http://cache.images.globalsportsmedia.com/soccer/players/150x150/260263.png,Olinga Essono,Cameroon,F. Olinga,0,0,Attacker,DF25ABB8-37EB-4C2A-8B6C-BDA53BF5A74D,Player,66.0,CMR
55,23,0,Rotterdam,Netherlands,1990-11-11T00:00:00.000Z,F513BE01-919A-41A6-B217-5041274D86DF,Georginio,Right,0,178.0,2B4181A9-50CF-442A-ADB1-C36CA21B3AF6,http://cache.images.globalsportsmedia.com/soccer/players/150x150/8828.png,Wijnaldum,Netherlands,G. Wijnaldum,0,0,Midfielder,FB6842E6-BB62-450D-98C0-A062610E6518,Player,68.0,NLD
56,33,0,Katwijk,Netherlands,1980-07-22T00:00:00.000Z,B0ABA58A-838A-402E-A0E4-835BD68497FD,Dirk,Right,0,184.0,F709D986-EFCC-491C-894D-65809B8DEF5F,http://cache.images.globalsportsmedia.com/soccer/players/150x150/45.png,Kuijt,Netherlands,D. Kuijt,0,0,Attacker,FB6842E6-BB62-450D-98C0-A062610E6518,Player,83.0,NLD
57,28,0,Santiago de Chile,Chile,1985-08-29T00:00:00.000Z,EFCEF04E-9E86-4E14-9B35-EB740181CAF2,Gonzalo Alejandro,Right,0,178.0,E87085AE-8E4D-4522-8A08-7F979D00F0EB,http://cache.images.globalsportsmedia.com/soccer/players/150x150/10432.png,Jara Reyes,Chile,G. Jara,0,0,Defender,9A319800-C80A-4FD9-9679-125D27246FB0,Player,77.0,CHL
58,26,0,Princeton,United States,1987-07-31T00:00:00.000Z,E552CD64-0093-49BA-8931-A7ABE8FDDF96,Michael,Right,0,186.0,EA347534-DE6A-4339-8FBC-5D855AAF3950,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2304.png,Bradley,United States,M. Bradley,0,0,Midfielder,820A471B-4B85-41E8-97A6-BC3063FE78D9,Player,75.0,USA
59,29,0,Evergreen Park,United States,1984-09-09T00:00:00.000Z,DC67C75F-278C-4EA3-AE10-4C5D58FE83B9,Bradley,Right,0,193.0,0C95063A-3DA1-4F07-93E4-4A57E5C0E8E8,http://cache.images.globalsportsmedia.com/soccer/players/150x150/6912.png,Guzan,United States,B. Guzan,0,0,Goalkeeper,820A471B-4B85-41E8-97A6-BC3063FE78D9,Player,95.0,USA
60,32,0,Tolosa,Spain,1981-11-25T00:00:00.000Z,67236CC5-7F2A-4474-BA7D-CF5C63CFF33A,Xabier,Both,2,183.0,5FD8C187-DCFC-45E5-95D5-D910D2DC2669,http://cache.images.globalsportsmedia.com/soccer/players/150x150/332.png,Alonso Olana,Spain,Xabi Alonso,0,2,Midfielder,05A7BADE-915A-4AFB-8C28-702069220E43,Player,79.0,ESP
61,30,0,Talagante,Chile,1983-06-23T00:00:00.000Z,974C044D-C589-4724-9244-94E6772B9E16,José Manuel,Left,0,176.0,AA8198DF-7A10-4CFD-97FC-7A1C2BBD774C,http://cache.images.globalsportsmedia.com/soccer/players/150x150/21751.png,Rojas Bahamondes,Chile,J. Rojas,0,0,Defender,9A319800-C80A-4FD9-9679-125D27246FB0,Player,77.0,CHL
62,31,0,Viluco,Chile,1983-04-13T00:00:00.000Z,13FC7AEB-1CA4-482D-B80B-42FE109D0A80,Claudio Andrés,Right,0,185.0,2EB0A690-B25F-410C-9427-50B452B7AA48,http://cache.images.globalsportsmedia.com/soccer/players/150x150/3626.png,Bravo Muñoz,Chile,C. Bravo,0,0,Goalkeeper,9A319800-C80A-4FD9-9679-125D27246FB0,Player,81.0,CHL
63,28,0,Santiago de Chile,Chile,1986-01-27T00:00:00.000Z,F4983252-1532-418B-BFB6-438F67B2F002,Fabián Ariel,Right,0,169.0,745B08D6-C0B5-4264-BB5E-F6DA1F7A3778,http://cache.images.globalsportsmedia.com/soccer/players/150x150/21710.png,Orellana Valenzuela,Chile,F. Orellana,0,0,Midfielder,9A319800-C80A-4FD9-9679-125D27246FB0,Player,70.0,CHL
64,34,0,Sydney,Australia,1979-12-06T00:00:00.000Z,36A991EA-0A1E-4273-B90E-2F227C85DDA1,Tim,Right,2,178.0,97DE75F8-91B7-4E83-A430-4773D9A21DE4,http://cache.images.globalsportsmedia.com/soccer/players/150x150/709.png,Cahill,Australia,T. Cahill,0,0,Midfielder,16EF7687-2D69-473C-BFE7-B781D67752DC,Player,64.0,AUS
65,26,0,Scarborough,Canada,1987-09-13T00:00:00.000Z,0BB5DF66-A25B-42FE-9F58-C120F9B8328F,Jonathan,Right,0,174.0,434D5B9D-EE33-42D3-9C86-B31987805099,http://cache.images.globalsportsmedia.com/soccer/players/150x150/2259.png,de Guzmán,Netherlands,J. de Guzmán,0,0,Midfielder,FB6842E6-BB62-450D-98C0-A062610E6518,Player,61.0,CAN
