Volcano Name,Country,Type,Latitude (dd),Longitude (dd),Elevation (m)
Aoba,Vanuatu,Shield,-15.4,167.83,1496
Ararat,Turkey,Stratovolcano,39.7,44.3,5165
Arenal,Costa Rica,Stratovolcano,10.46,-84.7,1670
Arintica,Chile,Complex,-18.73,-69.05,5597
Asacha,Russia,Stratovolcano,52.36,157.83,1910
Asama,Japan,Complex,36.4,138.53,2568
Ascensión,South Atlantic Ocean,Stratovolcano,-7.95,-14.37,858
Askja,Iceland,Stratovolcano,65.03,-16.75,1516
Aso,Japan,Caldera,32.88,131.11,1592
Atitlán,Guatemala,Complex,14.58,-91.19,3535
Atka,United States,Caldera,52.38,-174.15,1533
Atsonupuri,Russia,Stratovolcano,44.81,147.14,1206
Augustine,United States,Lava dome,59.36,-153.43,1252
Avachinsky,Russia,Stratovolcano,53.26,158.83,2741
Awu,Indonesia,Stratovolcano,3.67,125.5,1320
Axial Seamount,Pacific Ocean,Submarine,45.95,-130,-1410
Ayelu,Ethiopia,Stratovolcano,10.08,40.7,2145
Azufre,Chile,Complex,-21.79,-68.24,5846
Azuma,Japan,Stratovolcano,37.73,140.25,2035
Babuyon Claro,Philippines,Stratovolcano,19.5,121.9,1180
Bachelor,United States,Stratovolcano,43.8,121.6,2763
Bagana,Papua New Guinea,Cinder Cone,-6.1,155.2,1750
Baker,United States,Stratovolcano,48.79,-121.82,3285
Bam,Papua New Guinea,Stratovolcano,-3.6,144.85,685
Bamus,Papua New Guinea,Stratovolcano,-5.2,151.2,2248
Bandai,Japan,Stratovolcano,37.6,140.1,1819
Barren Island,India,Pyroclastic cone,12.29,93.88,305
Barrier,Kenya,Complex,2.32,36.57,1032
Bazman,Iran,Stratovolcano,28,60,3490
Beerenberg,Norway,Stratovolcano,71.1,-8.2,2277
Belknap,United States,Shield,44.28,-121.83,2096
Bezymianny,Russia,Stratovolcano,55.98,160.58,2882
Biliran,Philippines,Complex,11.5,124.5,1187
Bolshoi Semiachik,Russia,Stratovolcano,54.32,160.02,1720
Bulusan,Philippines,Stratovolcano,12.8,124.1,1565
Butajira,Ethiopia,"Fissure vent, Maar",8.05,38.35,2281
Butajira,Ethiopia,"Fissure vent, Maar",8.05,38.35,2281
Cameroon (Mount),Cameroon,Stratovolcano,4.2,9.17,4095
Camiguin de Babuyanes,Philippines,Stratovolcano,18.83,121.85,712
Canlaon,Philippines,Stratovolcano,10.41,123.13,2435
Capulin,United States,Cinder Cone,36.45,-104.09,2494
Carrizozo,United States,Volcanic field,33.7,-106,1730
Cayambe,Ecuador,Stratovolcano,0.03,-77.99,5790
Cereme,Indonesia,Stratovolcano,-6.9,108.41,3078
Chaine des Puys,France,Lava dome,45.78,2.97,1464
Chiginagak,United States,Stratovolcano,57.13,-156.99,2067
Chikurachki,Russia,Stratovolcano,50.33,155.46,5958
Chimborazo,Ecuador,Stratovolcano,-1.46,-78.82,6310
Cleveland,United States,Stratovolcano,52.83,-169.95,1730
Coatepeque,El Salvador,Caldera,13.86,-89.54,746
Colima,Mexico,Stratovolcano,19.51,103.62,4100
Columbia River Flood Basalts,United States,Flood Basalt,,,0
Concepción,Nicaragua,Stratovolcano,11.5,85.6,1610
Copahue,Argentina,Stratovolcano,-37.85,-71.17,2965
Cosigüina,Nicaragua,Shield,12.98,-87.56,847
Cotopaxi,Ecuador,Stratovolcano,-0.68,-78.44,5911
Crater Lake,United States,Caldera,42.94,-122.11,2471
Craters of the Moon,United States,Volcanic field,43.42,-113.5,2005
Daisetsu,Japan,Stratovolcano,43.7,142.9,2290
Dakataua,Papua New Guinea,Caldera,-5,150.1,400
Damavand,Iran,Stratovolcano,35.95,52.11,5670
Deccan Traps,India,Flood Basalt,,,0
Dempo,Indonesia,Stratovolcano,-4,103.1,3173
Devils Garden,United States,Volcanic field,43.5,-120.9,1525
Devils Tower,United States,Plug,44.6,-104.7,1558
Diamond Craters,United States,Volcanic field,43.1,-118.7,1450
Dieng Volcanic Complex,Indonesia,Complex,-7.2,109.9,2565
Diky Greben,Russia,Lava dome,51.46,156.98,1331
Dubbi,Eritrea,Stratovolcano,13.6,41.8,1625
Dukono,Indonesia,Complex,1.7,127.87,1185
East Epi,Vanuatu,Caldera,-16.7,168.4,-34
Ebeko,Russia,Somma,50.68,156.02,1156
Egmont (Taranaki),New Zealand,Stratovolcano,-39.3,174.1,2518
Egon,Indonesia,Stratovolcano,-8.7,122.45,788
El Chichon,Mexico,Caldera,17.36,-93.23,1060
Elbrus,Russia,Stratovolcano,43.33,42.45,5633
Erebus,Antarctica,Stratovolcano,-77.5,167.2,3794
Erta Ale,Ethiopia,Shield,13.6,40.7,613
Etna,Italy,Stratovolcano,37.73,15,3350
Fantale,Ethiopia,Stratovolcano,8.98,39.93,2007
Fernandina,Ecuador,Caldera,-0.37,-91.55,1476
Fisher,United States,Stratovolcano,-54.63,-164.42,1095
Fogo,Cape Verde Islands,Stratovolcano,14.95,-24.35,2829
Fort Rock,United States,Maar,43.37,-121.07,1716
Frosty Peak,United States,Stratovolcano,55.08,-162.81,1920
Fuego,Guatemala,Stratovolcano,14.47,-90.88,3763
Fuerteventura,Spain,Fissure vent,28.36,-14.02,529
Fuji,Japan,Stratovolcano,35.36,138.73,3776
Furnas,Portugal,Stratovolcano,37.76,-25.33,805
Fuss Peak,Russia,Stratovolcano,50.27,155.25,1772
Galeras,Colombia,Stratovolcano,1.22,-77.37,4276
Galunggung,Indonesia,Stratovolcano,-7.26,108.08,2168
Gamalama,Indonesia,Stratovolcano,0.81,127.33,1715
Gamchen,Russia,Stratovolcano,54.97,160.68,2576
Gamkonora,Indonesia,Stratovolcano,1.38,127.53,1635
Gareloi,United States,Stratovolcano,51.8,178.8,1573
Gaua,Vanuatu,Stratovolcano,-14.27,167.5,797
Gede,Indonesia,,-6.77,106.94,2958
Glacier Peak,United States,Stratovolcano,48.11,-121.11,3213
Gorely,Russia,Caldera,52.56,158.03,1829
Graciosa,Portugal,Stratovolcano,39.02,-27.97,402
Gran Canaria,Spain,Fissure vent,28,15.58,1950
Great Sitkin,United States,Stratovolcano,52.07,-176.13,1740
Griggs,United States,Stratovolcano,58.35,-155.09,2317
Grímsvötn,Iceland,Caldera,64.42,-17.33,1725
Guagua Pichincha,Ecuador,,-0.17,-78.6,4784
Guallatiri,Chile,Stratovolcano,-18.42,-69.09,6071
Guguan,United States,Stratovolcano,17.31,145.84,287
Hakone,Japan,,35.23,139.02,1439
Heard,Australia,Stratovolcano,-53.1,73.5,2745
Hibok-hibok,Philippines,Stratovolcano,9.2,124.7,1332
Hierro,Spain,Shield,27.73,-18.03,1500
Hood,United States,Stratovolcano,45.4,-121.7,3426
Hualalai,United States,Shield,19.69,-155.87,2523
Ibu,Indonesia,Stratovolcano,1.49,127.63,1325
Ijen,Indonesia,Stratovolcano,-8.06,114.24,2386
Iliamna,United States,Stratovolcano,60.03,-153.09,3053
Iliboleng,Indonesia,Stratovolcano,-8.34,123.26,1659
Iliniza,Ecuador,Stratovolcano,-0.66,-78.71,5248
Ilopango,El Salvador,Caldera,13.67,-89.05,450
Ilyinsky,Russia,Stratovolcano,51.49,157.2,1578
Ioto (Iwo-jima),Japan,Caldera,24.75,141.29,161
Iraya,Philippines,Stratovolcano,20.47,122.01,1009
Irazu,Costa Rica,Stratovolcano,9.98,83.85,3431
Isanotski,United States,Stratovolcano,54.77,-163.72,2446
Izalco,El Salvador,Stratovolcano,13.81,-89.63,1950
Iztaccihuatl,Mexico,Stratovolcano,19.18,-98.64,5286
Izu-Tobu,Japan,Pyroclastic cone,34.9,139.1,581
Jailolo,Indonesia,Stratovolcano,1.08,127.42,1130
Jefferson,United States,Stratovolcano,44.67,-121.8,3199
Jordan Craters,United States,Volcanic field,43.1,-117.4,1400
Kadovar,Papua New Guinea,Stratovolcano,-3.63,144.63,365
Kaguyak,United States,Stratovolcano,58.62,-154.06,901
Kahoolawe,United States,Shield,20.55,-156.57,450
Kambalny,Russia,Stratovolcano,51.3,156.87,2156
Kanaga,United States,Stratovolcano,51.92,-177.17,1307
Karangetang [Api Siau],Indonesia,Stratovolcano,2.78,125.4,1784
Karisimbi,"Congo, Rwanda",Stratovolcano,-1.51,29.45,4507
Karisimbi,"Congo, Rwanda",Stratovolcano,-1.51,29.45,4507
Karthala,Comoros,Shield,-11.75,43.38,2361
Karymsky,Russia,Stratovolcano,54.05,159.45,1536
Katla,Iceland,Fissure vent,63.63,-19.05,1512
Katmai,United States,Stratovolcano,58.28,-154.96,2047
Katwe-Kikorongo,Uganda,Volcanic field,-0.08,29.92,1067
Kavachi,Solomon Islands,Submarine,-9.02,157.95,-20
Kell,Russia,Stratovolcano,51.65,157.35,900
Kelut,Indonesia,Stratovolcano,-7.93,112.31,1731
Kerinci,Indonesia,Stratovolcano,1.7,101.26,3800
Khodutka,Russia,Stratovolcano,52.06,157.7,2090
Kialagvik,United States,Stratovolcano,57.2,-156.75,1677
Kick 'em Jenny,Grenada,Submarine,12.3,-61.64,-185
Kikai,Japan,Caldera,30.79,130.31,704
Kikhpinych,Russia,Stratovolcano,54.49,160.25,1552
Kilauea,United States,Shield,19.42,-155.29,1222
Kilimanjaro,Tanzania,Stratovolcano,3.07,37.35,5895
Kirishima,Japan,Stratovolcano,31.93,130.86,1700
Kliuchevskoi,Russia,Stratovolcano,56.06,160.64,4835
Komagatake,Japan,Stratovolcano,42.06,140.68,1131
Kone,Ethiopia,Caldera,8.8,39.69,1619
Koryaksky,Russia,Stratovolcano,53.32,158.69,3456
Koshelev,Russia,Stratovolcano,51.36,156.75,1812
Krafla,Iceland,Caldera,65.73,-16.78,818
Krakatau,Indonesia,Stratovolcano,-6.1,105.42,813
Krasheninnikov,Russia,Stratovolcano,54.59,160.27,1856
Kronotsky,Russia,Stratovolcano,54.75,160.53,3528
Ksudach,Russia,Stratovolcano,51.8,157.53,1079
Kukak,United States,Stratovolcano,58.45,-154.36,2043
Kusatsu-Shirane,Japan,Stratovolcano,36.64,138.54,2171
Kutcharo,Japan,Caldera,43.61,144.44,999
Kuttara,Japan,Stratovolcano,42.49,141.16,581
Kuwae,Vanuatu,Caldera,-16.83,168.54,-2
La Palma,Spain,Stratovolcano,28.57,-17.83,2426
Lamington,Papua New Guinea,Stratovolcano,-8.95,148.15,1680
Langila,Papua New Guinea,Stratovolcano,-5.53,148.42,1330
Lanzarote,Spain,Fissure vent,29.03,-13.63,670
Láscar,Chile,Stratovolcano,-23.37,-67.73,5592
Lereboleng,Indonesia,Complex,-8.36,122.84,1117
Lewotobi,Indonesia,Stratovolcano,-8.54,122.78,1703
Lewotolo,Indonesia,Stratovolcano,-8.27,123.51,1423
Liamuiga,St. Kitts and Nevis,Stratovolcano,17.37,-62.8,1156
Lipari,Italy,Stratovolcano,38.48,14.95,602
Little Sitkin,United States,Stratovolcano,51.95,178.54,1174
Loihi,United States,Submarine,18.92,-155.27,-975
Lokon-Empung,Indonesia,Stratovolcano,1.36,124.79,1580
Lolo,Papua New Guinea,Stratovolcano,-5.47,150.51,805
Lolobau,Papua New Guinea,Caldera,-4.92,151.16,858
Loloru,Papua New Guinea,Stratovolcano,-6.52,155.62,1887
Long Island,Papua New Guinea,Complex,-5.36,147.12,1280
Longonot,Kenya,Stratovolcano,-0.91,36.45,2776
Lopevi,Vanuatu,Stratovolcano,-16.51,168.35,1413
Maderas,Nicaragua,Stratovolcano,11.45,-85.52,1394
Mageik,United States,Stratovolcano,58.2,155.25,2165
Mahawu,Indonesia,Stratovolcano,1.36,124.86,1324
Makian,Indonesia,Stratovolcano,0.32,127.4,1357
Maly Semiachik,Russia,Caldera,54.13,159.67,1560
Manam,Papua New Guinea,Stratovolcano,-4.08,145.04,1807
Mariveles,Philippines,Stratovolcano,14.52,120.47,1388
Marsabit,Kenya,Shield,2.32,37.97,1707
Masaya,Nicaragua,Caldera,11.98,-86.16,635
Mashkovtsev,Russia,Stratovolcano,51.1,156.72,503
Mashu,Japan,Caldera,43.57,144.57,855
Mauna Kea,United States,Shield,19.82,-155.47,4205
Mauna Loa,United States,Shield,19.48,-155.61,4170
Mayon,Philippines,Stratovolcano,13.26,123.69,2462
McDonald Islands,Australia,Complex,-53.03,72.6,230
McLoughlin,United States,"Lava cone, Stratovolcano",42.45,-122.32,2894
McLoughlin,United States,"Lava cone, Stratovolcano",42.45,-122.32,2894
Mega Basalt Field,"Ethiopia, Kenya",Pyroclastic cone,37.42,4.08,1067
Mega Basalt Field,"Ethiopia, Kenya",Pyroclastic cone,37.42,4.08,1067
Menan Buttes,United States,Tuff ring,43.7,-111.96,1713
Menengai,Kenya,Shield,-0.2,36.07,2278
Merapi,Indonesia,Stratovolcano,-7.54,110.44,2911
Merbabu,Indonesia,Stratovolcano,-7.45,110.43,3145
Meru,Tanzania,Stratovolcano,-3.25,36.75,4565
Methana,Greece,Lava dome,37.62,23.34,760
Metis Shoal,Tonga,Submarine,-19.18,-174.87,43
Michael,United Kingdom,Stratovolcano,-57.78,-26.45,990
Michoacan-Guanajuato,Mexico,Cinder Cone,19.85,-101.75,3860
Mílos,Greece,Stratovolcano,36.7,24.44,751
Miyake-jima,Japan,Stratovolcano,34.08,139.53,815
Moffett,United States,Stratovolcano,51.94,-176.75,1196
Mojanda,Ecuador,Stratovolcano,0.13,-78.27,4263
Momotombo,Nicaragua,Stratovolcano,12.42,-86.54,1297
Monaco Bank,Portugal,Submarine,37.6,-25.88,-197
Mono Lake Vol Field,United States,Volcanic field,38,-119.03,2121
Monowai Seamount,New Zealand,Submarine,-25.89,-177.19,-132
Moti,Indonesia,Stratovolcano,0.45,127.4,950
Muria,Indonesia,Stratovolcano,-6.62,110.88,1625
Nantai,Japan,Stratovolcano,36.76,139.48,2486
Nasu,Japan,Stratovolcano,37.12,139.97,1915
Navajo Volcanic Field,United States,Volcanic field,,,2740
"Negro, Cerro",Nicaragua,Cinder Cone,12.51,-86.7,728
Nemo Peak,Russia,Caldera,49.57,154.81,1018
Nevis Peak,St. Kitts and Nevis,Stratovolcano,17.15,-62.58,985
Newberry,United States,Shield,43.72,-121.23,2434
Newer Volcanics Province,Australia,Shield,-37.77,142.5,1011
Ngauruhoe,New Zealand,Stratovolcano,-39.13,175.64,1978
Nikko-Shirane,Japan,Shield,36.8,139.38,2578
Nipesotsu-Maruyama,Japan,Stratovolcano,43.45,143.04,2013
Nisyros,Greece,Stratovolcano,36.59,27.16,698
Nyambeni Hills,Kenya,Shield,0.23,37.87,750
Nyamuragira,Democratic Republic of Congo,Shield,-1.41,29.2,3058
Nyiragongo,Democratic Republic of Congo,Stratovolcano,-1.52,29.25,3470
Oahu,United States,Shield,,,1220
Ojos del Salado,"Argentina, Chile",Stratovolcano,-27.12,-68.55,6887
Ojos del Salado,"Argentina, Chile",Stratovolcano,-27.12,-68.55,6887
Okataina,New Zealand,Lava dome,-38.12,176.5,1111
Okmok,United States,Shield,53.43,-168.13,1073
Oku Volcanic Field,Cameroon,Stratovolcano,6.25,10.5,3011
Ol Doinyo Lengai,Tanzania,Stratovolcano,-2.76,39.91,2962
Opala,Russia,Caldera,52.54,157.34,1776
Oraefajokull,Iceland,Stratovolcano,64,-16.65,2119
Oshima,Japan,Stratovolcano,34.72,139.4,764
Pacaya,Guatemala,Complex,14.38,-90.6,2552
Pagan,United States,Stratovolcano,18.13,145.8,570
Pago,Papua New Guinea,Caldera,-5.58,150.52,742
Papandayan,Indonesia,Stratovolcano,-7.32,107.73,2665
Paricutin,Mexico,Cinder Cone,19.5,-102.2,3170
Parinacota,"Bolivia, Chile",Stratovolcano,-18.17,-69.15,6348
Parinacota,"Bolivia, Chile",Stratovolcano,-18.17,-69.15,6348
Pauzhetka,Russia,Lava dome,51.45,156.97,1070
Pavlof,United States,Stratovolcano,55.42,-161.89,2519
Pavlof Sister,United States,Stratovolcano,55.45,-161.84,2142
Pelee,France,Stratovolcano,14.82,-61.17,1397
Peuet Sague,Indonesia,Complex,4.91,96.33,2801
Pico,Portugal,Stratovolcano,38.47,-28.4,2351
"Pilas, Las",Nicaragua,Stratovolcano,11.54,-85.62,1700
Pinacate,Mexico,Cinder Cone,31.77,-113.5,1200
Pinatubo,Philippines,Stratovolcano,15.13,120.35,1486
Pisgah Lava Field,United States,Volcanic field,34.75,-116.63,1495
Piton de la Fournaise,France,Shield,-21.23,55.71,2631
Poas,Costa Rica,Stratovolcano,10.2,-84.23,2708
Popocatepetl,Mexico,Stratovolcano,19.02,-98.62,5246
Prevo Peak,Russia,Stratovolcano,47.02,152.12,1360
Purace,Colombia,Stratovolcano,2.32,-76.4,4650
"Quill, The",Netherlands,Stratovolcano,17.48,-62.96,601
Rabaul,Papua New Guinea,Shield,-4.27,152.2,688
Ragang,Philippines,Stratovolcano,7.7,124.5,2815
Raikoke,Russia,Stratovolcano,48.29,153.25,551
Rainier,United States,Stratovolcano,46.85,-121.76,4392
Rajabasa,Indonesia,Stratovolcano,-5.78,105.63,1281
Raoul,New Zealand,Stratovolcano,-29.27,-177.92,516
Rasshua,Russia,Stratovolcano,47.77,153.02,956
Raung,Indonesia,Stratovolcano,-8.13,114.04,3332
Rausu,Japan,Stratovolcano,44.07,145.13,1660
Redoubt,United States,Stratovolcano,60.49,-152.74,3108
Reventador,Ecuador,Stratovolcano,-0.08,-77.66,3562
Rincon de la Vieja,Costa Rica,Complex,10.83,-85.32,1916
Roundtop,United States,Stratovolcano,54.8,-163.59,1871
Ruapehu,New Zealand,Stratovolcano,-39.28,175.57,2797
Rudakov,Russia,Stratovolcano,45.88,149.83,542
"Ruiz, Nevado del",Colombia,Stratovolcano,4.89,-75.32,5321
Rumble IV,New Zealand,Submarine,-36.13,178.05,500
Saba,Netherlands,Stratovolcano,17.63,-63.23,887
Sabancaya,Peru,Stratovolcano,-15.78,-71.85,5967
Sakar,Papua New Guinea,Stratovolcano,-5.41,148.09,992
Sakura-jima,Japan,Stratovolcano,31.59,130.66,1117
Salak,Indonesia,Stratovolcano,-6.72,106.73,2211
San Cristobal,Nicaragua,Stratovolcano,12.7,-87,1745
San Salvador,El Salvador,Stratovolcano,13.73,-89.29,1893
San Vicente,Cape Verde Islands,Stratovolcano,16.9,-25,697
Sanford,United States,Shield,62.22,-144.13,4949
Sangay,Ecuador,Stratovolcano,-2,-78.34,5230
Santa Ana,El Salvador,Stratovolcano,13.85,-89.63,2381
Santa Maria,Guatemala,Stratovolcano,14.76,-91.55,3772
Santorini,Greece,Shield,36.4,25.4,367
Sarychev Peak,Russia,Stratovolcano,48.09,153.2,1496
Savo,Solomon Islands,Stratovolcano,-9.13,159.82,485
Segula,United States,Stratovolcano,52.02,178.14,1160
Semeru,Indonesia,Stratovolcano,-8.11,112.92,3676
Semisopochnoi,United States,Stratovolcano,51.93,179.58,1221
Sete Cidades,Portugal,Stratovolcano,37.87,-25.78,856
Shasta,United States,Stratovolcano,41.41,-122.19,4317
Sheveluch,Russia,Stratovolcano,56.65,161.36,3283
Shikotsu,Japan,Caldera,42.69,141.38,1320
Shiretoko-Iwo-zan,Japan,Stratovolcano,44.13,145.17,1563
Shishaldin,United States,Stratovolcano,54.76,-163.97,2857
Sinarka,Russia,Stratovolcano,48.88,154.18,934
Smirnov,Russia,Stratovolcano,44.42,146.14,1189
Sollipulli,Chile,Caldera,-38.97,-71.52,2282
Soputan,Indonesia,Stratovolcano,1.11,124.73,1784
Soufriere Guadeloupe,France,Stratovolcano,16.05,-61.67,1467
Soufrière Hills,United Kingdom,Stratovolcano,16.72,-62.18,915
Soufrière St. Vincent,St. Vincent,Stratovolcano,13.33,-61.18,1220
South Island,Kenya,,2.63,36.6,800
SP Mountain,United States,Cinder Cone,35.6,-111.6,2141
Spurr,United States,Stratovolcano,61.3,-152.25,3374
Srednii,Russia,Submarine,47.6,152.92,36
Steller,United States,Stratovolcano,58.4,-154.4,2272
Stromboli,Italy,Stratovolcano,38.79,15.21,924
Sumaco,Ecuador,Stratovolcano,-0.54,-77.63,3990
Sumbing,Indonesia,Stratovolcano,-7.38,110.07,3371
Sundoro,Indonesia,Stratovolcano,-7.3,109.99,3136
Sunset Craters,United States,Cinder Cone,35.37,-111.5,2447
Suswa,Kenya,Shield,-1.18,36.35,2356
Suwanose-jima,Japan,Stratovolcano,29.64,129.72,799
Taal,Philippines,Caldera,14,120.99,311
Talang,Indonesia,Stratovolcano,-0.98,100.68,2597
Tambora,Indonesia,Stratovolcano,-8.25,118,2850
Tanaga and Takawangha,United States,Stratovolcano,51.89,-178.15,1806
Tangkubanparahu,Indonesia,Stratovolcano,-6.77,107.6,2084
Tao-Rusyr Caldera,Russia,Stratovolcano,49.35,154.7,1325
Tarso Voon,Chad,Stratovolcano,20.92,17.28,3100
Telica Volcano,Nicaragua,Stratovolcano,12.6,-86.85,1010
Tenerife,Spain,Stratovolcano,28.27,-16.64,3715
Tengger Caldera and Bromo,Indonesia,Stratovolcano,-7.94,112.95,2329
Three Fingered Jack,United States,Stratovolcano,44.5,-121.8,2390
Three Sisters,United States,Stratovolcano,44.1,121.77,3100
Thule Islands,United Kingdom,Stratovolcano,-59.45,-27.37,1075
Tiatia,Russia,Stratovolcano,44.35,146.26,1819
Toba,Indonesia,Caldera,2.58,98.83,2157
Todoko-Ranu,Indonesia,Caldera,1.25,127.47,979
Tokachi,Japan,,43.42,142.69,2077
Tolbachik,Russia,Stratovolcano,55.83,160.33,3682
Tolimán,Guatemala,Stratovolcano,14.61,-91.19,3158
Towada,Japan,Caldera,40.47,140.92,1159
Traitor's Head,Vanuatu,Stratovolcano,-18.75,169.23,1881
Tri Sestry,Russia,Stratovolcano,45.93,149.92,998
Tristan da Cunha,United Kingdom,Shield,-37.09,-12.28,2060
Tsurumi,Japan,Lava dome,33.28,131.43,1584
Tungurahua,Ecuador,Stratovolcano,-1.47,-78.44,2011
Ubehebe Craters,United States,Maar,37.02,-117.45,752
Ubinas,Peru,Stratovolcano,-16.36,-70.9,5672
Udina,Russia,Stratovolcano,55.76,160.53,2923
Ugashik and Peulik,United States,Stratovolcano,57.75,-156.37,1474
Uinkaret Volcanic Field,United States,Volcanic field,36.38,-113.13,1555
Ulawun,Papua New Guinea,Stratovolcano,-5.05,151.33,2334
Umboi,Papua New Guinea,Complex,-5.59,147.88,1548
Undara,Australia,Shield,-18.25,144.75,1020
Ungaran and Telomoyo,Indonesia,Stratovolcano,-7.18,110.33,2050
Unzen,Japan,Complex,32.76,130.29,1500
Urataman,Russia,Somma,47.12,152.25,678
Ushishur,Russia,Caldera,47.52,152.8,401
Usu,Japan,Stratovolcano,42.54,140.84,737
Uzon,Russia,Caldera,54.5,159.97,1617
Veniaminof,United States,Stratovolcano,56.17,-159.38,2507
Vernadskii Ridge,Russia,Cinder Cone,50.55,155.97,1183
Vesuvius,Italy,Somma,40.82,14.43,1281
Villarrica,Chile,Stratovolcano,-39.42,-71.93,2847
Vilyuchik,Russia,Stratovolcano,52.7,158.28,2173
Visoke,"Congo, Rwanda",Stratovolcano,-1.47,29.49,3711
Visoke,"Congo, Rwanda",Stratovolcano,-1.47,29.49,3711
Vsevidof and Recheschnoi Volcanoes,United States,Stratovolcano,53.13,-168.69,2149
Vulcano,Italy,,38.4,14.96,500
Washington,United States,Shield,44.3,-121.8,2376
Wau-en-Namus,Libya,Caldera,25.05,17.55,547
Westdahl,United States,Stratovolcano,54.52,-164.65,1654
White Island,New Zealand,Stratovolcano,-37.52,177.18,321
Wrangell,United States,Shield,62,-144.02,4317
Wudalianchi,China,Volcanic field,48.72,126.12,597
Yake-dake,Japan,Stratovolcano,36.22,137.59,2455
Yali,Greece,Lava dome,36.67,27.14,180
Yantarni,United States,Stratovolcano,57.02,-157.19,1345
Yasur,Vanuatu,Stratovolcano,-19.53,169.44,361
Yellowstone,United States,Caldera,44.43,-110.67,2805
Zavaritzki Caldera,Russia,Caldera,46.93,151.95,624
Zheltovsky,Russia,,51.57,157.32,1953
Zhupanovsky,Russia,,53.59,159.15,2958
Zimina,Russia,Stratovolcano,55.86,160.6,3081
